name,Company_name,price,previous_close,open,change,change_percent,date
LI,Li Auto Inc. (LI),39.42,36.36,39.28,+3.06,(+8.42%),2023-11-06_18-36
NVDA,NVIDIA Corporation (NVDA),455.13,450.05,452.85,+5.08,(+1.13%),2023-11-06_18-36
XRP-USD,XRP USD (XRP-USD),0.722540,0.661127,0.661127,+0.076108,(+11.77%),2023-11-06_18-37
NQ=F,Nasdaq 100 Dec 23 (NQ=F),"15,207.25",N/A,2023-12-15,+28.50,(+0.19%),2023-11-06_18-37
TSLA,"Tesla, Inc. (TSLA)",221.26,219.96,223.98,+1.30,(+0.59%),2023-11-06_18-37
RYAAY,Ryanair Holdings plc (RYAAY),98.47,94.29,102.99,+4.18,(+4.43%),2023-11-06_18-38
BRK-B,Berkshire Hathaway Inc. (BRK-B),346.02,351.81,354.03,-5.79,(-1.65%),2023-11-06_18-38
OGI,Organigram Holdings Inc. (OGI),1.4850,1.1600,1.5200,+0.3250,(+28.02%),2023-11-06_18-38
ES=F,E-Mini S&P 500 Dec 23 (ES=F),"4,379.75",N/A,2023-12-15,+3.75,(+0.09%),2023-11-06_18-38
DISH,DISH Network Corporation (DISH),4.3879,5.4900,4.7000,-1.1021,(-20.07%),2023-11-06_18-39
CREV,Carbon Revolution Public Limited Ordinary Shares (CREV),155.29,29.32,197.99,+125.97,(+429.64%),2023-11-06_18-39
YM=F,Mini Dow Jones Indus.-$5 Dec 23 (YM=F),"34,160.00",N/A,2023-12-15,+23.00,(+0.07%),2023-11-06_18-39
BNTX,BioNTech SE (BNTX),100.72,95.78,101.28,+4.94,(+5.16%),2023-11-06_18-39
WE,WeWork Inc. (WE),0.8355,0.8355,1.1500,0.0000,(0.00%),2023-11-06_18-40
BMBL,Bumble Inc. (BMBL),12.79,13.67,12.62,-0.88,(-6.44%),2023-11-06_18-40
FRPT,"Freshpet, Inc. (FRPT)",68.39,58.25,71.07,+10.14,(+17.42%),2023-11-06_18-41
MLTX,MoonLake Immunotherapeutics (MLTX),40.49,51.28,36.55,-10.79,(-21.04%),2023-11-06_18-41
BVH,Bluegreen Vacations Holding Corporation (BVH),73.08,35.52,72.98,+37.56,(+105.74%),2023-11-06_18-41
VRTX,Vertex Pharmaceuticals Incorporated (VRTX),385.35,376.20,379.27,+9.15,(+2.43%),2023-11-06_18-42
AYX,"Alteryx, Inc. (AYX)",30.16,32.74,31.85,-2.58,(-7.88%),2023-11-06_18-42
OGI.TO,Organigram Holdings Inc. (OGI.TO),2.0600,1.5900,2.0900,+0.4700,(+29.56%),2023-11-06_18-42
XRP-CAD,XRP CAD (XRP-CAD),0.980812,0.903175,0.903175,+0.098809,(+11.20%),2023-11-06_18-42
CLDX,"Celldex Therapeutics, Inc. (CLDX)",32.50,25.98,32.98,+6.52,(+25.10%),2023-11-06_18-43
TGLS,Tecnoglass Inc. (TGLS),31.07,34.26,28.82,-3.19,(-9.33%),2023-11-06_18-43
AXSM,"Axsome Therapeutics, Inc. (AXSM)",66.13,65.14,62.10,+0.99,(+1.52%),2023-11-06_18-43
LICY,Li-Cycle Holdings Corp. (LICY),1.6898,1.7400,1.8400,-0.0502,(-2.89%),2023-11-06_18-44
PKX,POSCO Holdings Inc. (PKX),97.49,83.44,96.73,+14.05,(+16.84%),2023-11-06_18-44
AMC,"AMC Entertainment Holdings, Inc. (AMC)",11.16,10.72,11.00,+0.44,(+4.10%),2023-11-06_18-44
VERB,"Verb Technology Company, Inc. (VERB)",0.3423,0.2562,0.3070,+0.0861,(+33.61%),2023-11-06_18-45
ETH-USD,Ethereum USD (ETH-USD),"1,908.35","1,894.03","1,894.03",+32.53,(+1.73%),2023-11-06_18-45
